Category,German,English,Hindi
🏃 Verbs,ausmachen,to turn off; to agree,बंद करना; तय करना
🏃 Verbs,auspacken,to unwrap,खोलना (उपहार)
👤 Pronouns,ausruhen (sich),to rest,आराम करना
🏃 Verbs,aussehen,to look (appearance),दिखना
🏃 Verbs,aussprechen,to pronounce,उच्चारण करना
🍎 Food,aussteigen,to get off,उतरना
🏃 Verbs,austragen,to deliver,वितरण करना
🏠 House & Furniture,automatisch,automatic,स्वचालित
👤 Pronouns,außer,except,सिवाय
👤 Pronouns,außerdem,besides,इसके अलावा
👤 Pronouns,außerhalb,outside,बाहर
🏠 House & Furniture,baden,to bathe,नहाना
🏃 Verbs,basteln,to do crafts,हस्तशिल्प
🏃 Verbs,bauen,to build,बनाना
🏙️ Places & City,beantworten,to answer,जवाब देना
🏙️ Places & City,beantworter,answerer,जवाब देने वाला
🏙️ Places & City,beantwortet,answered,जवाब दिया
👋 Greetings & Basics,bedanken (sich),to thank,धन्यवाद देना
🔗 Adverbs & Connectors,bedankt,thanked,धन्यवाद दिया
🏃 Verbs,bedeuten,to mean,मतलब होना
🍎 Food,beeilen (sich),to hurry,जल्दी करना
🍎 Food,beeilt,hurried,जल्दी किया
🎨 Colors,begründen,to justify,औचित्य देना
🍎 Food,bei,at; with,पर; के पास
🍎 Food,beide,both,दोनों
🏃 Verbs,bekannt,well-known,प्रसिद्ध
🏃 Verbs,bekommt,gets; receives,मिलता है
🏃 Verbs,beliebt,popular,लोकप्रिय
🏃 Verbs,benutzen,to use,इस्तेमाल करना
🏃 Verbs,bequem,comfortable,आरामदायक
👤 Pronouns,beraten,to advise,सलाह देना
🍎 Food,bereitet vor,prepares,तैयार करता है
👤 Pronouns,berichten,to report,रिपोर्ट करना
👤 Pronouns,Berlin,Berlin,बर्लिन
👤 Pronouns,berühmt,famous,प्रसिद्ध
🍎 Food,beschreiben,to describe,वर्णन करना
❓ Question Words,beschwert,complained,शिकायत की
👤 Pronouns,besichtigen,to visit (sight),देखने जाना
👤 Pronouns,besichtigt,visited,देखा
👤 Pronouns,besorgt,worried,चिंतित
👤 Pronouns,besteht,consists,बना होता है
👤 Pronouns,bestellt,ordered,ऑर्डर किया
👤 Pronouns,bestätigen,to confirm,पुष्टि करना
👤 Pronouns,besuchen,to visit,मिलने जाना
👤 Pronouns,besucht,visited,मिलने गया
💼 Work & Job,bewerben (sich),to apply,आवेदन करना
👤 Pronouns,bewirbt,applies,आवेदन करता है
🛒 Shopping & Money,billig,cheap,सस्ता
🏃 Verbs,bisschen,a bit,थोड़ा
👋 Greetings & Basics,bitten,to ask (for),विनती करना
🍎 Food,bleiben,to stay,रुकना
🍎 Food,bleibt,stays,रुकता है
🎨 Colors,blond,blonde,गोरी/गोरे बाल
🏃 Verbs,blöd,stupid,बेवकूफ
🔗 Adverbs & Connectors,braucht,needs,जरूरत होती है
🏃 Verbs,bringt,brings,लाता है
🏃 Verbs,brät,fries; roasts,तलता/भूनता है
🥤 Drinks,buchstabieren,to spell,वर्तनी बोलना
🏃 Verbs,bügeln,to iron,इस्त्री करना
📱 Communication,chatten,to chat,चैट करना
🔗 Adverbs & Connectors,da(r) (Bsp. darauf,there (e.g. on it),वहाँ (जैसे उस पर)
🍎 Food,dabei (sein),to have (with one),साथ होना
🔗 Adverbs & Connectors,damals,back then,उस समय
🔗 Adverbs & Connectors,daneben,next to it,बगल में
🔗 Adverbs & Connectors,dankbar,grateful,कृतज्ञ
👋 Greetings & Basics,danken,to thank,धन्यवाद देना
👤 Pronouns,darüber),about it,उसके बारे में
🔗 Adverbs & Connectors,das (Fahr)Rad,bicycle,साइकिल
🍎 Food,das Abendessen,dinner,रात का खाना
👤 Pronouns,das Alter (Sg.),age,उम्र
🐾 Animals,das Aquarium,aquarium,एक्वेरियम
🍎 Food,das Arbeitsamt,employment office,रोजगार कार्यालय
🔗 Adverbs & Connectors,das Ausland (Sg.),abroad,विदेश
🚗 Transport & Travel,das Auto,car,कार
🚗 Transport & Travel,das Autoabgase,car exhaust,कार का धुआँ
🏠 House & Furniture,das Bad,bathroom,बाथरूम
🏠 House & Furniture,das Badezimmer,bathroom,बाथरूम
👤 Pronouns,das Ballett,ballet,बैले
🛒 Shopping & Money,das Bargeld,cash,नकद
🏠 House & Furniture,das Bettzeug,bedding,बिस्तर का सामान
🔗 Adverbs & Connectors,das Brettspiel,board game,बोर्ड गेम
🎨 Colors,das Brot,bread,रोटी
📚 School & Learning,das Buch lesen,to read a book,किताब पढ़ना
🍎 Food,das Bügeleisen,iron,प्रेस
🔗 Adverbs & Connectors,das CO2,CO2,सीओ2
🔗 Adverbs & Connectors,das Date,date,डेट
🏙️ Places & City,das Denkmal,monument,स्मारक
🍎 Food,das Dessert,dessert,डेज़र्ट
🔗 Adverbs & Connectors,das Ding,thing,चीज़
🏠 House & Furniture,das Doppelzimmer,double room,डबल रूम
🔗 Adverbs & Connectors,das E-Book,e-book,ई-बुक
🍎 Food,das Eichhörnchen,squirrel,गिलहरी
🍎 Food,das Einkaufs-,shopping (prefix),खरीदारी
🍎 Food,das Einzelzimmer,single room,सिंगल रूम
🍎 Food,das Eis (Sg.),ice cream,आइसक्रीम
👤 Pronouns,das Erdbeben,earthquake,भूकंप
🔗 Adverbs & Connectors,das Etikett,label,लेबल
📚 School & Learning,das Fach,subject,विषय
🚗 Transport & Travel,das Fahrrad,bicycle,साइकिल
🚗 Transport & Travel,das Fahrrad fahren,to ride a bike,साइकिल चलाना
🔗 Adverbs & Connectors,das Fax,fax,फैक्स
🎉 Celebrations,das Festival,festival,उत्सव
🏥 Health & Feelings,das Fieber (Sg.),fever,बुखार
👤 Pronouns,das Fitness,fitness,फिटनेस
🍎 Food,das Fleisch (Sg.),meat,मांस
🔗 Adverbs & Connectors,das Foto machen,to take a photo,फोटो खींचना
🍎 Food,das Frühstück (Sg.),breakfast,नाश्ता
🍎 Food,das Frühstücksbuffet,breakfast buffet,नाश्ता बुफे
🧍 Body Parts,das Fußballspiel,football match,फुटबॉल मैच
🚗 Transport & Travel,das Gate,gate,गेट
🍎 Food,das Gegenteil,opposite,उल्टा
🛒 Shopping & Money,das Geld (Sg.),money,पैसा
🛒 Shopping & Money,das Geld abheben,to withdraw money,पैसे निकालना
🍎 Food,das Geld einzahlen,to deposit money,पैसे जमा करना
🚗 Transport & Travel,das Geldautomat,ATM,एटीएम
🔗 Adverbs & Connectors,das Gemälde,painting,पेंटिंग
🍎 Food,das Gemüse (Sg.),vegetables,सब्ज़ियाँ
🚗 Transport & Travel,das Gepäck (Sg.),luggage,सामान
🍎 Food,das Gericht,dish,डिश
👤 Pronouns,das Gerät,device,उपकरण
🍽️ Kitchen Items,das Geschirr (Sg.),dishes,बर्तन
👤 Pronouns,das Gesetz,law,कानून
📱 Communication,das Gespräch,conversation (phone),बातचीत
👤 Pronouns,das Gewicht,weight,वज़न
🍎 Food,das Gleis,platform; track,प्लेटफॉर्म
🔗 Adverbs & Connectors,das Glück (Sg.),luck,किस्मत
🚗 Transport & Travel,das GPS,GPS,जीपीएस
🧍 Body Parts,das Haar,hair,बाल
🍎 Food,das Hauptgericht,main course,मेन कोर्स
🔗 Adverbs & Connectors,das Hobby,hobby,शौक
🏠 House & Furniture,das Hotelzimmer,hotel room,होटल का कमरा
🌳 Nature & Weather,das Insekt,insect,कीड़ा
🔗 Adverbs & Connectors,das Instrument,instrument,वाद्य यंत्र
👤 Pronouns,das Interesse,interest,रुचि
📱 Communication,das Internet (Sg.),internet,इंटरनेट
📱 Communication,das Interview,interview,इंटरव्यू
👋 Greetings & Basics,das Jahrhundert,century,सदी
👋 Greetings & Basics,das Jahrzehnt,decade,दशक
🔗 Adverbs & Connectors,das Karussell,carousel,मेरी गो राउंड
👤 Pronouns,das Klavier,piano,पियानो
👤 Pronouns,das Klavier spielen,to play piano,पियानो बजाना
🍎 Food,das Kleid,dress,पोशाक
🌳 Nature & Weather,das Klima,climate,जलवायु
🔗 Adverbs & Connectors,das Klo,toilet (informal),टॉयलेट
🛒 Shopping & Money,das Konto,account,खाता
🎉 Celebrations,das Konzert,concert,कॉन्सर्ट
🏠 House & Furniture,das Laken,sheet,चादर
👤 Pronouns,das Licht,light,रोशनी
🔗 Adverbs & Connectors,das Lied,song,गाना
🍎 Food,das Lokal,restaurant,रेस्तरां
👤 Pronouns,das Material,material,सामग्री
💼 Work & Job,das Meeting,meeting,मीटिंग
🥤 Drinks,das Mineral-,mineral (prefix),खनिज
🍎 Food,das Mittagessen,lunch,दोपहर का खाना
🔗 Adverbs & Connectors,das Mobil-,mobile (prefix),मोबाइल
👤 Pronouns,das Muster,pattern,पैटर्न
🍎 Food,das Obst (Sg.),fruit,फल
🔗 Adverbs & Connectors,das Paar,pair,जोड़ा
🔗 Adverbs & Connectors,das Paket,parcel,पार्सल
👤 Pronouns,das Paket verschicken,to send a parcel,पार्सल भेजना
🏥 Health & Feelings,das Pflaster,band-aid,बैंड-एड
🔗 Adverbs & Connectors,das Pfund,pound (weight),पाउंड
🍎 Food,das Picknick,picnic,पिकनिक
🔗 Adverbs & Connectors,das Plakat,poster,पोस्टर
🔗 Adverbs & Connectors,das Plastik,plastic,प्लास्टिक
🏙️ Places & City,das Poster,poster,पोस्टर
💼 Work & Job,das Praktikum,internship,इंटर्नशिप
🔗 Adverbs & Connectors,das Problem,problem,समस्या
🔗 Adverbs & Connectors,das Problem lösen,to solve a problem,समस्या हल करना
👤 Pronouns,das Produkt,product,उत्पाद
🔗 Adverbs & Connectors,das Programm,program,कार्यक्रम
🔗 Adverbs & Connectors,das Publikum,audience,दर्शक
🍽️ Kitchen Items,das Putzmittel,cleaning product,सफाई का सामान
🔗 Adverbs & Connectors,das Quiz (Sg.),quiz,क्विज
🚗 Transport & Travel,das Radfahren,cycling,साइकिल चलाना
🔗 Adverbs & Connectors,das Recht,right,अधिकार
📚 School & Learning,das Referat,presentation,प्रेजेंटेशन
🔗 Adverbs & Connectors,das Reh,roe deer,हिरणी
🍎 Food,das Reisebüro,travel agency,यात्रा एजेंसी
🔗 Adverbs & Connectors,das Rind,cattle,मवेशी
🔗 Adverbs & Connectors,das Rätsel,puzzle,पहेली
🔗 Adverbs & Connectors,das Schach,chess,शतरंज
🔗 Adverbs & Connectors,das Schild,sign,संकेत
🔗 Adverbs & Connectors,das Schwimm-,swimming (prefix),तैराकी
🔗 Adverbs & Connectors,das Selfie,selfie,सेल्फी
📚 School & Learning,das Semester,semester,सेमेस्टर
📚 School & Learning,das Seminar,seminar,सेमिनार
🔗 Adverbs & Connectors,das Shampoo,shampoo,शैंपू
🔗 Adverbs & Connectors,das Skifahren,skiing,स्कीइंग
🏠 House & Furniture,das Sofa,sofa,सोफा
👤 Pronouns,das Solarenergie,solar energy,सौर ऊर्जा
🛒 Shopping & Money,das Sonderangebot,special offer,स्पेशल ऑफर
🔗 Adverbs & Connectors,das Souvenir,souvenir,स्मृति चिह्न
🏙️ Places & City,das Sparkonto,savings account,बचत खाता
🔗 Adverbs & Connectors,das Spiel,game,खेल
🔗 Adverbs & Connectors,das Stipen-,scholarship (prefix),छात्रवृत्ति
📚 School & Learning,das Stipendium,scholarship,छात्रवृत्ति
🏠 House & Furniture,das Stockwerk,floor (storey),मंजिल
🍎 Food,das Studentenwohnheim,student dormitory,छात्रावास
🔗 Adverbs & Connectors,das Studium (Sg.),studies,पढ़ाई
👕 Clothing,das Taschengeld,pocket money,जेब खर्च
🔗 Adverbs & Connectors,das Tennis,tennis,टेनिस
🔗 Adverbs & Connectors,das Tennis (Sg.),tennis,टेनिस
🔗 Adverbs & Connectors,das Thema,topic,विषय
🏥 Health & Feelings,das Thermometer,thermometer,थर्मामीटर
🚗 Transport & Travel,das Ticket,ticket,टिकट
🚗 Transport & Travel,das Ticket kaufen,to buy a ticket,टिकट खरीदना
🔗 Adverbs & Connectors,das Tor,goal,गोल
🔗 Adverbs & Connectors,das Tor schießen,to score a goal,गोल करना
🔗 Adverbs & Connectors,das Training,training,ट्रेनिंग
🛒 Shopping & Money,das Trinkgeld,tip,टिप
🚗 Transport & Travel,das Verkehrs-,transport (prefix),यातायात
🚗 Transport & Travel,das Verkehrsschild,traffic sign,ट्रैफिक साइन
🥤 Drinks,das Wasser (Sg.),water,पानी
🌳 Nature & Weather,das Wetter (Sg.),weather,मौसम
❓ Question Words,das Wiederhören,goodbye (on phone),फोन पर अलविदा
📚 School & Learning,das Wörterbuch,dictionary,शब्दकोश
🔗 Adverbs & Connectors,das Zelt,tent,तंबू
🏙️ Places & City,das Zentrum,center,केंद्र
🔗 Adverbs & Connectors,das Ziel,goal/target,लक्ष्य/गोल
🏠 House & Furniture,das Zimmer reservieren,to reserve a room,कमरा बुक करना
🔗 Adverbs & Connectors,das Öl,oil,तेल
💼 Work & Job,de Rentner,the retiree,पेंशनभोगी
🚗 Transport & Travel,der Abflug,departure (flight),प्रस्थान
👤 Pronouns,der Abschluss,degree/graduation,डिग्री
🐾 Animals,der Adler,eagle,ईगल
🏥 Health & Feelings,der Albtraum,nightmare,बुरा सपना
⏰ Time,der Alltag,everyday life,रोज़मर्रा की ज़िंदगी
📱 Communication,der Anruf-,call (prefix),कॉल
👤 Pronouns,der Anschluss,connection,कनेक्शन
👤 Pronouns,der Apparat,device,उपकरण
👤 Pronouns,der Appetit,appetite,भूख
👤 Pronouns,der Artikel,article,लेख
👤 Pronouns,der Ast,branch,डाल
👤 Pronouns,der Aufsatz,essay,निबंध
🚗 Transport & Travel,der Aufzug,elevator,लिफ्ट
🚗 Transport & Travel,der Ausflug,excursion,पिकनिक
👤 Pronouns,der Ausländer,foreigner,विदेशी
👤 Pronouns,der Ausverkauf,sale,सेल
🍎 Food,der Ausweis,ID,पहचान पत्र
🚗 Transport & Travel,der Automat,vending machine,वेंडिंग मशीन
🚗 Transport & Travel,der Autor,author,लेखक
👤 Pronouns,der Azubi,apprentice,प्रशिक्षु
👨‍👩‍👧 Family & People,der Babysitter,babysitter,बेबीसिटर
👤 Pronouns,der Bach,stream,नाला
🍎 Food,der Bahnsteig,platform,प्लेटफॉर्म
👤 Pronouns,der Ball,ball,गेंद
🛒 Shopping & Money,der Bankangestellte,bank employee,बैंक कर्मचारी
👤 Pronouns,der Basketball,basketball,बास्केटबॉल
👤 Pronouns,der Benutzer,user,उपयोगकर्ता
🍎 Food,der Bescheid,notification,सूचना
👤 Pronouns,der Besen,broom,झाड़ू
👤 Pronouns,der Besuch,visit,मुलाकात
👤 Pronouns,der Betrag,amount,राशि
🐾 Animals,der Biber,beaver,ऊदबिलाव
🍽️ Kitchen Items,der Bio-Müll,organic waste,जैविक कचरा
🍎 Food,der Bleistift,pencil,पेंसिल
🏥 Health & Feelings,der Blutdruck,blood pressure,ब्लड प्रेशर
🏥 Health & Feelings,der Bluttest,blood test,ब्लड टेस्ट
👤 Pronouns,der Brauch,custom,रिवाज
📱 Communication,der Briefkasten,mailbox,लेटरबॉक्स
🏙️ Places & City,der Brunnen,fountain,फव्वारा
📚 School & Learning,der Buchstabe,letter (alphabet),अक्षर
🚗 Transport & Travel,der Busch,bush,झाड़ी
👤 Pronouns,der Bäcker,baker,बेकर
👤 Pronouns,der Bürger,citizen,नागरिक
🛒 Shopping & Money,der Cent,cent,सेंट
💼 Work & Job,der Chef,boss,बॉस
👤 Pronouns,der Chor,choir,गायक मंडली
🏙️ Places & City,der Club,club,क्लब
🏠 House & Furniture,der Dachs,badger,बज्जू
👤 Pronouns,der Dank (Sg.),thanks,धन्यवाद
👤 Pronouns,der Dokumentarfilm,documentary,डॉक्यूमेंट्री
🏙️ Places & City,der Dom,cathedral,कैथेड्रल
👤 Pronouns,der Dozent,lecturer,प्रोफेसर
🥤 Drinks,der Durst (Sing.),thirst,प्यास
👨‍👩‍👧 Family & People,der Ehepartner,spouse,जीवनसाथी
🍎 Food,der Eimer,bucket,बाल्टी
🍎 Food,der Eintritt,admission,प्रवेश
👨‍👩‍👧 Family & People,der Enkel,grandson,पोता
🛒 Shopping & Money,der Euro,euro,यूरो
👨‍👩‍👧 Family & People,der Familien-,family (prefix),परिवार
👤 Pronouns,der Fan,fan,प्रशंसक
🍎 Food,der Feiertag,holiday,छुट्टी का दिन
👤 Pronouns,der Film,film/movie,फिल्म
👤 Pronouns,der Fink,finch,फिंच
🚗 Transport & Travel,der Flug,flight,उड़ान
👤 Pronouns,der Flüchtling,refugee,शरणार्थी
🍎 Food,der Freitag,Friday,शुक्रवार
👨‍👩‍👧 Family & People,der Freundesliste,friends list,फ्रेंड्स लिस्ट
👤 Pronouns,der Friseur,hairdresser,नाई
👤 Pronouns,der Friseursalon,hair salon,हेयर सैलून
🌳 Nature & Weather,der Frost,frost,ठंड
🧍 Body Parts,der Fußball,football/soccer,फुटबॉल
👤 Pronouns,der Führer,guide,गाइड
👤 Pronouns,der Führer-,driver (prefix),ड्राइवर
⏰ Time,der Geburtstagswunsch,birthday wish,जन्मदिन की शुभकामना
🍽️ Kitchen Items,der Geschirrspüler,dishwasher,डिशवॉशर
👤 Pronouns,der Geschmack,taste,स्वाद
👤 Pronouns,der Glück-,congratulations (prefix),बधाई
👤 Pronouns,der Gruß,greeting,अभिवादन
👤 Pronouns,der Guide,guide,गाइड
🍎 Food,der Gutschein,voucher,वाउचर
🌳 Nature & Weather,der Hagel,hail,ओले
👤 Pronouns,der Hamburger,hamburger,हैमबर्गर
🐾 Animals,der Hase,hare/rabbit,खरगोश
🏥 Health & Feelings,der Hass,hate,नफरत
🏠 House & Furniture,der Haushalt,household,घर
🚗 Transport & Travel,der Helm,helmet,हेलमेट
👤 Pronouns,der Himmel (Sg.),sky,आसमान
👤 Pronouns,der Hunger (Sg.),hunger,भूख
🐾 Animals,der Igel,hedgehog,साही
👋 Greetings & Basics,der Jahrestag,anniversary,सालगिरह
👤 Pronouns,der Kanal,channel,चैनल
🛒 Shopping & Money,der Kassenbon,receipt,रसीद
🛒 Shopping & Money,der Kassenzettel,receipt,रसीद
👤 Pronouns,der Kellner,waiter,वेटर
🏙️ Places & City,der Kiosk,kiosk,कियोस्क
🎒 Personal Items,der Kleber,glue,गोंद
🌳 Nature & Weather,der Klimaschutz,climate protection,जलवायु संरक्षण
🌳 Nature & Weather,der Klimawandel,climate change,जलवायु परिवर्तन
👤 Pronouns,der Koch,chef,शेफ
💼 Work & Job,der Kollege,colleague (male),सहकर्मी (पुरुष)
👤 Pronouns,der Kommentar,comment,कमेंट
🎒 Personal Items,der Kompass,compass,कंपास
👤 Pronouns,der Kontakt,contact,संपर्क
🚗 Transport & Travel,der Kontoauszug,bank statement,खाता विवरण
🛒 Shopping & Money,der Kontostand,account balance,खाता शेष
🏥 Health & Feelings,der Krankenwagen,ambulance,एम्बुलेंस
🛒 Shopping & Money,der Kredit,loan,लोन
👤 Pronouns,der Krimi,crime story,अपराध कहानी
🐾 Animals,der Käfer,beetle,भृंग
🍎 Food,der Käse (Sg.),cheese,पनीर
👤 Pronouns,der Künstler,artist,कलाकार
👤 Pronouns,der Lappen,cloth,कपड़ा
📚 School & Learning,der Lehrer,teacher (male),शिक्षक
👕 Clothing,der Lernstoff,study material,पाठ्यक्रम
👤 Pronouns,der Like,like,लाइक
👤 Pronouns,der Link,link,लिंक
👤 Pronouns,der Luchs,lynx,लिंक्स
👤 Pronouns,der Luftballon,balloon,गुब्बारा
👤 Pronouns,der Lärm,noise,शोर
🧍 Body Parts,der Magen,stomach,पेट
👤 Pronouns,der Marder,marten,मार्टन
🏙️ Places & City,der Marktplatz,market square,मार्केट चौक
🐾 Animals,der Maulwurf,mole,छछूंदर
🍎 Food,der Meister,champion,चैंपियन
👨‍👩‍👧 Family & People,der Mensch,person,इंसान
👤 Pronouns,der Metzger,butcher,कसाई
🍎 Food,der Mitarbeiter,employee,कर्मचारी
👕 Clothing,der Moderator,host/presenter,होस्ट
👤 Pronouns,der Moment,moment,पल
🚗 Transport & Travel,der Motor,engine,इंजन
🚗 Transport & Travel,der Motorroller,scooter,स्कूटर
📚 School & Learning,der Musiker,musician,संगीतकार
🍽️ Kitchen Items,der Müll,rubbish/garbage,कचरा
🍽️ Kitchen Items,der Müll (Sg.),rubbish,कचरा
📚 School & Learning,der Nachhilfe,tutoring,ट्यूशन
🏠 House & Furniture,der Nachtisch,dessert,मीठा
🏠 House & Furniture,der Nachttisch,bedside table,बेडसाइड टेबल
🏥 Health & Feelings,der Notarzt,emergency doctor,इमरजेंसी डॉक्टर
🏥 Health & Feelings,der Optiker,optician,ऑप्टिशियन
👤 Pronouns,der Ordner,folder,फ़ोल्डर
🏙️ Places & City,der Ort,place,जगह
🐾 Animals,der Osterhase,Easter bunny,ईस्टर बनी
🐾 Animals,der Otter,otter,ऊद
🍎 Food,der Papagei,parrot,तोता
🚗 Transport & Travel,der Passkontrolle,passport control,पासपोर्ट कंट्रोल
🏥 Health & Feelings,der Patient,patient,मरीज
🍎 Food,der Personalausweis,ID card,आईडी कार्ड
👤 Pronouns,der Plan,plan,योजना
👤 Pronouns,der Podcast,podcast,पॉडकास्ट
👤 Pronouns,der Pokal,trophy,ट्रॉफी
👤 Pronouns,der Politiker,politician,राजनेता
🍎 Food,der Preis,price,कीमत
👤 Pronouns,der Prospekt,brochure,ब्रोशर
👕 Clothing,der Pullover,sweater,स्वेटर
🏥 Health & Feelings,der Puls,pulse,नाड़ी
👋 Greetings & Basics,der Pyjama,pyjamas,पायजामा
👤 Pronouns,der Rabe,raven,कौआ
📚 School & Learning,der Ranzen,school bag,स्कूल बैग
👤 Pronouns,der Rasen,lawn,लॉन
👤 Pronouns,der Raum,room; space,कमरा; जगह
🌳 Nature & Weather,der Regen (Sg.),rain,बारिश
👤 Pronouns,der Regisseur,director,निर्देशक
🍎 Food,der Reifen,tyre,टायर
🍎 Food,der Reis (Sg.),rice,चावल
🍎 Food,der Reiseführer,travel guide,यात्रा गाइड
🍎 Food,der Reisepass,passport,पासपोर्ट
👤 Pronouns,der Rekord,record,रिकॉर्ड
💼 Work & Job,der Rentner,retiree (male),पेंशनभोगी
👤 Pronouns,der Rest,rest,बाकी
👤 Pronouns,der Rhythmus,rhythm,ताल
👤 Pronouns,der Roman,novel,उपन्यास
👤 Pronouns,der Rundgang,tour,दौरा
👤 Pronouns,der Röntgen,X-ray,एक्स-रे
👤 Pronouns,der Saldo,balance,शेष राशि
👤 Pronouns,der Schalter,switch,स्विच
📱 Communication,der Schatten,shadow,छाया
🏠 House & Furniture,der Schauspieler,actor,अभिनेता
👤 Pronouns,der Schiedsrichter,referee,रेफरी
🎒 Personal Items,der Schirm,umbrella,छाता
👤 Pronouns,der Schlaf,sleep,नींद
👤 Pronouns,der Schluss,end,अंत
🌳 Nature & Weather,der Schnee (Sg.),snow,बर्फ
👨‍👩‍👧 Family & People,der Schwager,brother-in-law,जीजा/देवर
🐾 Animals,der Schwan,swan,हंस
👨‍👩‍👧 Family & People,der Schwiegersohn,son-in-law,दामाद
👨‍👩‍👧 Family & People,der Schwiegervater,father-in-law,ससुर
🏥 Health & Feelings,der Schwindel,dizziness,चक्कर
📚 School & Learning,der Schüler,pupil (male),छात्र
📱 Communication,der Sender,station,स्टेशन
👤 Pronouns,der Service (Sg.),service,सेवा
👤 Pronouns,der Sieg,victory,जीत
👤 Pronouns,der Ski,ski,स्की
🍎 Food,der Sonnenschein,sunshine,धूप
🌳 Nature & Weather,der Sonnenschirm,sunshade,सनशेड
🐾 Animals,der Spatz,sparrow,गौरैया
👤 Pronouns,der Spazier-,walk (prefix),सैर
👤 Pronouns,der Spaziergang,walk,सैर
👤 Pronouns,der Spaß (Sg.),fun,मज़ा
👤 Pronouns,der Specht,woodpecker,कठफोड़वा
👤 Pronouns,der Spieler,player,खिलाड़ी
🏙️ Places & City,der Sport,sports,खेल
🏙️ Places & City,der Sport (Sg.),sport,खेल
🍎 Food,der Sport treiben,to do sports,खेल करना
🏙️ Places & City,der Sportplatz,sports field,खेल का मैदान
🏙️ Places & City,der Sportunterricht,PE lesson,शारीरिक शिक्षा
👤 Pronouns,der Staat,state,राज्य
🏙️ Places & City,der Stadtführer,city guide,शहर गाइड
🏙️ Places & City,der Stadtplan,city map,शहर का नक्शा
👤 Pronouns,der Stamm,trunk,तना
👤 Pronouns,der Star,star,सितारा
👤 Pronouns,der Staub,dust,धूल
🧍 Body Parts,der Staubsauger,vacuum cleaner,वैक्यूम क्लीनर
👤 Pronouns,der Stecker,plug,प्लग
👨‍👩‍👧 Family & People,der Stiefsohn,stepson,सौतेला बेटा
👨‍👩‍👧 Family & People,der Stiefvater,stepfather,सौतेले पिता
👤 Pronouns,der Stock,floor; stick,मंजिल; छड़ी
👕 Clothing,der Stoff,fabric,कपड़ा
🐾 Animals,der Storch,stork,सारस
