German,English,Hindi
bereitet vor,To be translated,अनुवाद किया जाना है
berichten,To be translated,अनुवाद किया जाना है
Berlin,To be translated,अनुवाद किया जाना है
berühmt,To be translated,अनुवाद किया जाना है
beschreiben,To be translated,अनुवाद किया जाना है
beschwert,To be translated,अनुवाद किया जाना है
besichtigen,To be translated,अनुवाद किया जाना है
besichtigt,To be translated,अनुवाद किया जाना है
besorgt,worried,चिंतित
besteht,To be translated,अनुवाद किया जाना है
bestellt,To be translated,अनुवाद किया जाना है
bestätigen,To be translated,अनुवाद किया जाना है
besuchen,To be translated,अनुवाद किया जाना है
besucht,To be translated,अनुवाद किया जाना है
bewerben (sich),To be translated,अनुवाद किया जाना है
bewirbt,To be translated,अनुवाद किया जाना है
billig,To be translated,अनुवाद किया जाना है
bisschen,To be translated,अनुवाद किया जाना है
bitten,To be translated,अनुवाद किया जाना है
bleiben,To be translated,अनुवाद किया जाना है
bleibt,To be translated,अनुवाद किया जाना है
blond,To be translated,अनुवाद किया जाना है
blöd,To be translated,अनुवाद किया जाना है
braucht,To be translated,अनुवाद किया जाना है
bringt,To be translated,अनुवाद किया जाना है
brät,To be translated,अनुवाद किया जाना है
buchstabieren,To be translated,अनुवाद किया जाना है
bügeln,to iron,इस्त्री करना
chatten,To be translated,अनुवाद किया जाना है
da(r) (Bsp. darauf,To be translated,अनुवाद किया जाना है
dabei (sein),To be translated,अनुवाद किया जाना है
damals,To be translated,अनुवाद किया जाना है
daneben,To be translated,अनुवाद किया जाना है
dankbar,grateful,कृतज्ञ
danken,To be translated,अनुवाद किया जाना है
darüber),To be translated,अनुवाद किया जाना है
das (Fahr)Rad,To be translated,अनुवाद किया जाना है
das Abendessen,dinner,रात का खाना
das Alter (Sg.),To be translated,अनुवाद किया जाना है
das Aquarium,aquarium,एक्वेरियम
das Arbeitsamt,employment office,रोजगार कार्यालय
das Ausland (Sg.),To be translated,अनुवाद किया जाना है
das Auto,To be translated,अनुवाद किया जाना है
das Autoabgase,car exhaust,कार का धुआँ
das Bad,bathroom,बाथरूम
das Badezimmer,bathroom,बाथरूम
das Ballett,ballet,बैले
das Bargeld,cash,नकद
das Bettzeug,bedding,बिस्तर का सामान
das Brettspiel,board game,बोर्ड गेम
das Brot,bread,रोटी
das Buch lesen,to read a book,किताब पढ़ना
das Bügeleisen,iron,प्रेस
das CO2,CO2,सीओ2
das Date,date,डेट
das Denkmal,monument,स्मारक
das Dessert,dessert,डेज़र्ट
das Ding,To be translated,अनुवाद किया जाना है
das Doppelzimmer,double room,डबल रूम
das E-Book,To be translated,अनुवाद किया जाना है
das Eichhörnchen,squirrel,गिलहरी
das Einkaufs-,To be translated,अनुवाद किया जाना है
das Einzelzimmer,single room,सिंगल रूम
das Eis (Sg.),To be translated,अनुवाद किया जाना है
das Erdbeben,earthquake,भूकंप
das Etikett,label,लेबल
das Fach,subject,विषय
das Fahrrad,bicycle,साइकिल
das Fahrrad fahren,to ride a bike,साइकिल चलाना
das Fax,fax,फैक्स
das Festival,To be translated,अनुवाद किया जाना है
das Fieber (Sg.),To be translated,अनुवाद किया जाना है
das Fitness,fitness,फिटनेस
das Fleisch (Sg.),To be translated,अनुवाद किया जाना है
das Foto machen,to take a photo,फोटो खींचना
das Frühstück (Sg.),To be translated,अनुवाद किया जाना है
das Frühstücksbuffet,breakfast buffet,नाश्ता बुफे
das Fußballspiel,football match,फुटबॉल मैच
das Gate,gate,गेट
das Gegenteil,To be translated,अनुवाद किया जाना है
das Geld (Sg.),To be translated,अनुवाद किया जाना है
das Geld abheben,to withdraw money,पैसे निकालना
das Geld einzahlen,to deposit money,पैसे जमा करना
das Geldautomat,ATM,एटीएम
das Gemälde,painting,पेंटिंग
das Gemüse (Sg.),To be translated,अनुवाद किया जाना है
das Gepäck (Sg.),To be translated,अनुवाद किया जाना है
das Gericht,dish,डिश
das Gerät,To be translated,अनुवाद किया जाना है
das Geschirr (Sg.),To be translated,अनुवाद किया जाना है
das Gesetz,law,कानून
das Gespräch,conversation (phone),बातचीत
das Gewicht,weight,वज़न
das Gleis,To be translated,अनुवाद किया जाना है
das Glück (Sg.),To be translated,अनुवाद किया जाना है
das GPS,GPS,जीपीएस
das Haar,hair,बाल
das Hauptgericht,main course,मेन कोर्स
das Hobby,hobby,शौक
das Hotelzimmer,hotel room,होटल का कमरा
das Insekt,insect,कीड़ा
das Instrument,instrument,वाद्य यंत्र
das Interesse,To be translated,अनुवाद किया जाना है
das Internet (Sg.),To be translated,अनुवाद किया जाना है
das Interview,To be translated,अनुवाद किया जाना है
das Jahrhundert,century,सदी
das Jahrzehnt,decade,दशक
das Karussell,carousel,मेरी गो राउंड
das Klavier,piano,पियानो
das Klavier spielen,to play piano,पियानो बजाना
das Kleid,To be translated,अनुवाद किया जाना है
das Klima,climate,जलवायु
das Klo,toilet (informal),टॉयलेट
das Konto,account,खाता
das Konzert,concert,कॉन्सर्ट
das Laken,sheet,चादर
das Licht,To be translated,अनुवाद किया जाना है
das Lied,song,गाना
das Lokal,To be translated,अनुवाद किया जाना है
das Material,material,सामग्री
das Meeting,meeting,मीटिंग
das Mineral-,To be translated,अनुवाद किया जाना है
das Mittagessen,lunch,दोपहर का खाना
das Mobil-,To be translated,अनुवाद किया जाना है
das Muster,pattern,पैटर्न
das Obst (Sg.),To be translated,अनुवाद किया जाना है
das Paar,To be translated,अनुवाद किया जाना है
das Paket,parcel,पार्सल
das Paket verschicken,to send a parcel,पार्सल भेजना
das Pflaster,band-aid,बैंड-एड
das Pfund,pound (weight),पाउंड
das Picknick,picnic,पिकनिक
das Plakat,To be translated,अनुवाद किया जाना है
das Plastik,plastic,प्लास्टिक
das Poster,To be translated,अनुवाद किया जाना है
das Praktikum,To be translated,अनुवाद किया जाना है
das Problem,problem,समस्या
das Problem lösen,to solve a problem,समस्या हल करना
das Produkt,To be translated,अनुवाद किया जाना है
das Programm,To be translated,अनुवाद किया जाना है
das Publikum,audience,दर्शक
das Putzmittel,cleaning product,सफाई का सामान
das Quiz (Sg.),To be translated,अनुवाद किया जाना है
das Radfahren,cycling,साइकिल चलाना
das Recht,right,अधिकार
das Referat,presentation,प्रेजेंटेशन
das Reh,roe deer,हिरणी
das Reisebüro,To be translated,अनुवाद किया जाना है
das Rind,To be translated,अनुवाद किया जाना है
das Rätsel,To be translated,अनुवाद किया जाना है
das Schach,chess,शतरंज
das Schild,To be translated,अनुवाद किया जाना है
das Schwimm-,To be translated,अनुवाद किया जाना है
das Selfie,selfie,सेल्फी
das Semester,semester,सेमेस्टर
das Seminar,seminar,सेमिनार
das Shampoo,shampoo,शैंपू
das Skifahren,skiing,स्कीइंग
das Sofa,sofa,सोफा
das Solarenergie,solar energy,सौर ऊर्जा
das Sonderangebot,special offer,स्पेशल ऑफर
das Souvenir,souvenir,स्मृति चिह्न
das Sparkonto,savings account,बचत खाता
das Spiel,game,खेल
das Stipen-,To be translated,अनुवाद किया जाना है
das Stipendium,scholarship,छात्रवृत्ति
das Stockwerk,To be translated,अनुवाद किया जाना है
das Studentenwohnheim,student dormitory,छात्रावास
das Studium (Sg.),To be translated,अनुवाद किया जाना है
das Taschengeld,To be translated,अनुवाद किया जाना है
das Tennis,tennis,टेनिस
das Tennis (Sg.),To be translated,अनुवाद किया जाना है
das Thema,To be translated,अनुवाद किया जाना है
das Thermometer,thermometer,थर्मामीटर
das Ticket,ticket,टिकट
das Ticket kaufen,to buy a ticket,टिकट खरीदना
das Tor,goal,गोल
das Tor schießen,to score a goal,गोल करना
das Training,training,ट्रेनिंग
das Trinkgeld,tip,टिप
das Verkehrs-,To be translated,अनुवाद किया जाना है
das Verkehrsschild,traffic sign,ट्रैफिक साइन
das Wasser (Sg.),To be translated,अनुवाद किया जाना है
das Wetter (Sg.),To be translated,अनुवाद किया जाना है
das Wiederhören,goodbye (on phone),फोन पर अलविदा
das Wörterbuch,dictionary,शब्दकोश
das Zelt,tent,तंबू
das Zentrum,center,केंद्र
das Ziel,goal/target,लक्ष्य/गोल
das Zimmer reservieren,to reserve a room,कमरा बुक करना
das Öl,To be translated,अनुवाद किया जाना है
de Rentner,To be translated,अनुवाद किया जाना है
der Abflug,departure (flight),प्रस्थान
der Abschluss,degree/graduation,डिग्री
der Adler,eagle,ईगल
der Albtraum,nightmare,बुरा सपना
der Alltag,everyday life,रोज़मर्रा की ज़िंदगी
der Anruf-,To be translated,अनुवाद किया जाना है
der Anschluss,To be translated,अनुवाद किया जाना है
der Apparat,To be translated,अनुवाद किया जाना है
der Appetit,appetite,भूख
der Artikel,article,लेख
der Ast,branch,डाल
der Aufsatz,essay,निबंध
der Aufzug,elevator,लिफ्ट
der Ausflug,excursion,पिकनिक
der Ausländer,foreigner,विदेशी
der Ausverkauf,sale,सेल
der Ausweis,To be translated,अनुवाद किया जाना है
der Automat,To be translated,अनुवाद किया जाना है
der Autor,author,लेखक
der Azubi,apprentice,प्रशिक्षु
der Babysitter,To be translated,अनुवाद किया जाना है
der Bach,stream,नाला
der Bahnsteig,platform,प्लेटफॉर्म
der Ball,ball,गेंद
der Bankangestellte,bank employee,बैंक कर्मचारी
der Basketball,basketball,बास्केटबॉल
der Benutzer,user,उपयोगकर्ता
der Bescheid,To be translated,अनुवाद किया जाना है
der Besen,broom,झाड़ू
der Besuch,To be translated,अनुवाद किया जाना है
der Betrag,amount,राशि
der Biber,beaver,ऊदबिलाव
der Bio-Müll,organic waste,जैविक कचरा
der Bleistift,To be translated,अनुवाद किया जाना है
der Blutdruck,blood pressure,ब्लड प्रेशर
der Bluttest,blood test,ब्लड टेस्ट
der Brauch,custom,रिवाज
der Briefkasten,mailbox,लेटरबॉक्स
der Brunnen,fountain,फव्वारा
der Buchstabe,To be translated,अनुवाद किया जाना है
der Busch,bush,झाड़ी
der Bäcker,baker,बेकर
der Bürger,citizen,नागरिक
der Cent,cent,सेंट
der Chef,boss,बॉस
der Chor,choir,गायक मंडली
der Club,To be translated,अनुवाद किया जाना है
der Dachs,badger,बज्जू
der Dank (Sg.),To be translated,अनुवाद किया जाना है
der Dokumentarfilm,documentary,डॉक्यूमेंट्री
der Dom,cathedral,कैथेड्रल
der Dozent,lecturer,प्रोफेसर
der Durst (Sing.),To be translated,अनुवाद किया जाना है
der Ehepartner,To be translated,अनुवाद किया जाना है
der Eimer,bucket,बाल्टी
der Eintritt,To be translated,अनुवाद किया जाना है
der Enkel,grandson,पोता
der Euro,euro,यूरो
der Familien-,To be translated,अनुवाद किया जाना है
der Fan,fan,प्रशंसक
der Feiertag,holiday,छुट्टी का दिन
der Film,film/movie,फिल्म
der Fink,finch,फिंच
der Flug,flight,उड़ान
der Flüchtling,refugee,शरणार्थी
der Freitag,Friday,शुक्रवार
der Freundesliste,friends list,फ्रेंड्स लिस्ट
der Friseur,hairdresser,नाई
der Friseursalon,hair salon,हेयर सैलून
der Frost,frost,ठंड
der Fußball,football/soccer,फुटबॉल
der Führer,guide,गाइड
der Führer-,To be translated,अनुवाद किया जाना है
der Geburtstagswunsch,birthday wish,जन्मदिन की शुभकामना
der Geschirrspüler,dishwasher,डिशवॉशर
der Geschmack,taste,स्वाद
der Glück-,To be translated,अनुवाद किया जाना है
der Gruß,To be translated,अनुवाद किया जाना है
der Guide,guide,गाइड
der Gutschein,voucher,वाउचर
der Hagel,hail,ओले
der Hamburger,To be translated,अनुवाद किया जाना है
der Hase,hare/rabbit,खरगोश
der Hass,hate,नफरत
der Haushalt,To be translated,अनुवाद किया जाना है
der Helm,helmet,हेलमेट
der Himmel (Sg.),To be translated,अनुवाद किया जाना है
der Hunger (Sg.),To be translated,अनुवाद किया जाना है
der Igel,hedgehog,साही
der Jahrestag,anniversary,सालगिरह
der Kanal,channel,चैनल
der Kassenbon,receipt,रसीद
der Kassenzettel,receipt,रसीद
der Kellner,waiter,वेटर
der Kiosk,To be translated,अनुवाद किया जाना है
der Kleber,glue,गोंद
der Klimaschutz,climate protection,जलवायु संरक्षण
der Klimawandel,climate change,जलवायु परिवर्तन
der Koch,chef,शेफ
der Kollege,colleague (male),सहकर्मी (पुरुष)
der Kommentar,comment,कमेंट
der Kompass,compass,कंपास
der Kontakt,contact,संपर्क
der Kontoauszug,bank statement,खाता विवरण
der Kontostand,account balance,खाता शेष
der Krankenwagen,ambulance,एम्बुलेंस
der Kredit,loan,लोन
der Krimi,crime story,अपराध कहानी
der Käfer,beetle,भृंग
der Käse (Sg.),To be translated,अनुवाद किया जाना है
der Künstler,artist,कलाकार
der Lappen,cloth,कपड़ा
der Lehrer,teacher (male),शिक्षक
der Lernstoff,study material,पाठ्यक्रम
der Like,like,लाइक
der Link,To be translated,अनुवाद किया जाना है
der Luchs,lynx,लिंक्स
der Luftballon,balloon,गुब्बारा
der Lärm,noise,शोर
der Magen,To be translated,अनुवाद किया जाना है
der Marder,marten,मार्टन
der Marktplatz,market square,मार्केट चौक
der Maulwurf,mole,छछूंदर
der Meister,champion,चैंपियन
der Mensch,To be translated,अनुवाद किया जाना है
der Metzger,butcher,कसाई
der Mitarbeiter,To be translated,अनुवाद किया जाना है
der Moderator,host/presenter,होस्ट
der Moment,To be translated,अनुवाद किया जाना है
der Motor,To be translated,अनुवाद किया जाना है
der Motorroller,To be translated,अनुवाद किया जाना है
der Musiker,musician,संगीतकार
der Müll,rubbish/garbage,कचरा
der Müll (Sg.),To be translated,अनुवाद किया जाना है
der Nachhilfe,tutoring,ट्यूशन
der Nachtisch,dessert,मीठा
der Nachttisch,bedside table,बेडसाइड टेबल
der Notarzt,emergency doctor,इमरजेंसी डॉक्टर
der Optiker,optician,ऑप्टिशियन
der Ordner,folder,फ़ोल्डर
der Ort,To be translated,अनुवाद किया जाना है
der Osterhase,Easter bunny,ईस्टर बनी
der Otter,otter,ऊद
der Papagei,parrot,तोता
der Passkontrolle,passport control,पासपोर्ट कंट्रोल
der Patient,patient,मरीज
der Personalausweis,ID card,आईडी कार्ड
der Plan,plan,योजना
der Podcast,podcast,पॉडकास्ट
der Pokal,trophy,ट्रॉफी
der Politiker,politician,राजनेता
der Preis,price,कीमत
der Prospekt,To be translated,अनुवाद किया जाना है
der Pullover,sweater,स्वेटर
der Puls,pulse,नाड़ी
der Pyjama,pyjamas,पायजामा
der Rabe,raven,कौआ
der Ranzen,school bag,स्कूल बैग
der Rasen,lawn,लॉन
der Raum,To be translated,अनुवाद किया जाना है
der Regen (Sg.),To be translated,अनुवाद किया जाना है
der Regisseur,director,निर्देशक
der Reifen,To be translated,अनुवाद किया जाना है
der Reis (Sg.),To be translated,अनुवाद किया जाना है
der Reiseführer,To be translated,अनुवाद किया जाना है
der Reisepass,passport,पासपोर्ट
der Rekord,record,रिकॉर्ड
der Rentner,retiree (male),पेंशनभोगी
der Rest,To be translated,अनुवाद किया जाना है
der Rhythmus,rhythm,ताल
der Roman,novel,उपन्यास
der Rundgang,To be translated,अनुवाद किया जाना है
der Röntgen,X-ray,एक्स-रे
der Saldo,balance,शेष राशि
der Schalter,switch,स्विच
der Schatten,shadow,छाया
der Schauspieler,actor,अभिनेता
der Schiedsrichter,referee,रेफरी
der Schirm,To be translated,अनुवाद किया जाना है
der Schlaf,sleep,नींद
der Schluss,To be translated,अनुवाद किया जाना है
der Schnee (Sg.),To be translated,अनुवाद किया जाना है
der Schwager,brother-in-law,जीजा/देवर
der Schwan,swan,हंस
der Schwiegersohn,son-in-law,दामाद
der Schwiegervater,father-in-law,ससुर
der Schwindel,dizziness,चक्कर
der Schüler,pupil (male),छात्र
der Sender,station,स्टेशन
der Service (Sg.),To be translated,अनुवाद किया जाना है
der Sieg,victory,जीत
der Ski,To be translated,अनुवाद किया जाना है
der Sonnenschein,sunshine,धूप
der Sonnenschirm,sunshade,सनशेड
der Spatz,sparrow,गौरैया
der Spazier-,To be translated,अनुवाद किया जाना है
der Spaziergang,walk,सैर
der Spaß (Sg.),To be translated,अनुवाद किया जाना है
der Specht,woodpecker,कठफोड़वा
der Spieler,player,खिलाड़ी
der Sport,sports,खेल
der Sport (Sg.),To be translated,अनुवाद किया जाना है
der Sport treiben,to do sports,खेल करना
der Sportplatz,sports field,खेल का मैदान
der Sportunterricht,PE lesson,शारीरिक शिक्षा
der Staat,state,राज्य
der Stadtführer,city guide,शहर गाइड
der Stadtplan,city map,शहर का नक्शा
der Stamm,trunk,तना
der Star,To be translated,अनुवाद किया जाना है
der Staub,dust,धूल
der Staubsauger,vacuum cleaner,वैक्यूम क्लीनर
der Stecker,plug,प्लग
der Stiefsohn,stepson,सौतेला बेटा
der Stiefvater,stepfather,सौतेले पिता
der Stock,To be translated,अनुवाद किया जाना है
der Stoff,fabric,कपड़ा
der Storch,stork,सारस
der Streit,argument,झगड़ा
der Stress (Sg.),To be translated,अनुवाद किया जाना है
der Student,student (male),छात्र (विश्वविद्यालय)
der Stundenplan,timetable,समय-सारणी
der Swimmingpool,swimming pool,स्विमिंग पूल
der Sänger,singer (male),गायक
der Tau,dew,ओस
der Teich,pond,तालाब
der Termin beim Arzt,doctor's appointment,डॉक्टर का अपॉइंटमेंट
der Tierpark,animal park,जानवर पार्क
der Tipp,To be translated,अनुवाद किया जाना है
der Titel,To be translated,अनुवाद किया जाना है
der Tourist,To be translated,अनुवाद किया जाना है
der Trainer,coach,कोच
der Traum,dream,सपना
der Umschlag,envelope,लिफाफा
der Umweltschutz,environmental protection,पर्यावरण संरक्षण
der Umzug,To be translated,अनुवाद किया जाना है
der Unfall,accident,दुर्घटना
der Urlaubsort,vacation destination,छुट्टी का स्थान
der Verband,bandage,पट्टी
der Verein,To be translated,अनुवाद किया जाना है
der Verkehr (Sg.),To be translated,अनुवाद किया जाना है
der Vermieter,To be translated,अनुवाद किया जाना है
der Volleyball,volleyball,वॉलीबॉल
der Vorschlag,To be translated,अनुवाद किया जाना है
der Vortrag,lecture,व्याख्यान
der Wagen,To be translated,अनुवाद किया जाना है
der Waschbär,raccoon,रैकून
der Wechselkurs,exchange rate,विनिमय दर
der Wecker,alarm clock,अलार्म क्लॉक
der Weg,way/path,रास्ता
der Wein,To be translated,अनुवाद किया जाना है
der Werbespot,commercial,विज्ञापन
der Wettbewerb,contest,प्रतियोगिता
der Wetterbericht,weather forecast,मौसम पूर्वानुमान
der Wettkampf,competition,प्रतियोगिता
der Wiesel,weasel,नीला
der Windpark,wind farm,पवन ऊर्जा पार्क
der Witz,joke,चुटकुला
der Wochenmarkt,weekly market,साप्ताहिक बाज़ार
der Workshop,workshop,कार्यशाला
der Wunsch,wish,इच्छा
der Wurm,worm,कीड़ा
der Wähler,voter,मतदाता
der Zeitplan,schedule,शेड्यूल
der Zeitpunkt,point in time,समय बिंदु
der Zeitraum,time period,समय अवधि
der Zettel,note/paper,नोट/कागज़
der Zins,interest,ब्याज
der Zinsen,interest,ब्याज
der Zirkus,circus,सर्कस
der Zoll,customs,कस्टम
der Zucker (Sg.),To be translated,अनुवाद किया जाना है
der Zuschauer,spectator,दर्शक
der/das Blog,To be translated,अनुवाद किया जाना है
der/das Comic,To be translated,अनुवाद किया जाना है
der/das Laptop,To be translated,अनुवाद किया जाना है
der/die,To be translated,अनुवाद किया जाना है
deutlich,To be translated,अनुवाद किया जाना है
die (E-)Mail,To be translated,अनुवाद किया जाना है
die Abhebung,withdrawal,निकासी
die Abschlussfeier,graduation ceremony,समापन समारोह
die Abteilung,department,विभाग
die Accessoires,accessories,एक्सेसरीज़
die Ahnung,To be translated,अनुवाद किया जाना है
die Akte,file/folder,फ़ाइल
die Amsel,blackbird,काली चिड़िया
die Anlage,attachment,अटैचमेंट
die Anprobe,trying on,ट्राय करना
die Antwort geben,to give an answer,जवाब देना
die Anzeige,ad/classified,विज्ञापन
die Arbeit,To be translated,अनुवाद किया जाना है
die Arbeitslosigkeit,unemployment,बेरोजगारी
die Armut,poverty,गरीबी
die Asyl,asylum,शरण
die Aufführung,performance,प्रदर्शन
die Aufgabe lösen,to solve the task,कार्य हल करना
die Aufregung,excitement,उत्तेजना
die Ausbildung,apprenticeship/training,प्रशिक्षण
die Ausdauer,endurance,सहनशीलता
die Auskunft,information,जानकारी
die Ausrüstung,equipment,उपकरण
die Aussicht,view,नज़ारा
die Ausstellung,exhibition,प्रदर्शनी
die Autobahn,To be translated,अनुवाद किया जाना है
die Autorin,author (female),लेखिका
die Band,band,बैंड
die Bank (im Park),bench,बेंच
die Bankfiliale,bank branch,बैंक शाखा
die Bankkarte,bank card,बैंक कार्ड
die Barzahlung,cash payment,नकद भुगतान
die Batterie,battery,बैटरी
die Baumwolle,cotton,कपास
die Baustelle,construction site,निर्माण स्थल
die Bedienung,service,सेवा
die Beerdigung,funeral,अंतिम संस्कार
die Beere,berry,बेरी
die Beförderung,promotion,पदोन्नति
die Begeisterung,enthusiasm,उत्साह
die Begrüßung,greeting,अभिवादन
die Behandlung,treatment,उपचार
die Beilage,side dish,साइड डिश
die Bekanntschaft,acquaintance,परिचय
die Beratung,advice,सलाह
die Bevölkerung,population,जनसंख्या
die Bewegung,exercise/movement,व्यायाम
die Beziehung,relationship,रिश्ता
die Biologie,biology,जीव विज्ञान
die Blüte,blossom,फूल
die Bohne,To be translated,अनुवाद किया जाना है
die Bordkarte,boarding pass,बोर्डिंग पास
die Briefmarke,stamp,डाक टिकट
die Brieftasche,wallet,बटुआ
die Butter (Sg.),To be translated,अनुवाद किया जाना है
die Bäckerei,To be translated,अनुवाद किया जाना है
die Bühne,stage,मंच
die Cafeteria,To be translated,अनुवाद किया जाना है
die CD,CD,सीडी
die Chefin,boss (female),बॉस (महिला)
die Chemie,chemistry,रसायन विज्ञान
die Creme,cream,क्रीम
die Dame,To be translated,अनुवाद किया जाना है
die Dankbarkeit,gratitude,कृतज्ञता
die Datei,file,फ़ाइल
die Deadline,deadline,अंतिम तिथि
die Demo,demonstration,प्रदर्शन
die Demokratie,democracy,लोकतंत्र
die Demonstration,demonstration,प्रदर्शन
die Deutschstunde,German lesson,जर्मन की क्लास
die Diagnose,diagnosis,निदान
die Disco,To be translated,अनुवाद किया जाना है
die Diskriminierung,discrimination,भेदभाव
die Diskussion,discussion,चर्चा
die Diät,diet,डाइट
die Drogerie,drugstore,ड्रगस्टोर
die Dürre,drought,सूखा
die E-Mail schreiben,to write an email,ईमेल लिखना
die Eifersucht,jealousy,ईर्ष्या
die Eile,hurry,जल्दबाज़ी
die Einbahnstraße,one-way street,एक तरफा सड़क
die Einladung,invitation,निमंत्रण
die Eins,grade 1 (best),पहला नंबर
die Einschreibung,enrollment,नामांकन
die Einweihung,inauguration,उद्घाटन
die Einwohner,inhabitants,निवासी
die Einzahlung,deposit,जमा
die Energie,energy,ऊर्जा
die Energie sparen,to save energy,ऊर्जा बचाना
die Englischstunde,English lesson,अंग्रेजी की क्लास
die Enkelin,granddaughter,पोती
die Entfernung,distance,दूरी
die Entscheidung,decision,निर्णय
die Entschuldi-,To be translated,अनुवाद किया जाना है
die Entspannung,relaxation,आराम
die Enttäuschung,disappointment,निराशा
die Entzündung,inflammation,सूजन
die Erderwärmung,global warming,वैश्विक तापन
die Erinnerung,memory/reminder,याददाश्त
die Erlaubnis (Sg.),To be translated,अनुवाद किया जाना है
die Erleichterung,relief,राहत
die Erneuerbare Energie,renewable energy,नवीकरणीय ऊर्जा
die Ernährung,nutrition,पोषण
die Erwartung,expectation,उम्मीद
die Eröffnung,opening,उद्घाटन
die Eule,owl,उल्लू
die Fahrt,journey/trip,यात्रा
die Fakultät,faculty,संकाय
die Feierlichkeit,celebration/ceremony,उत्सव
die Ferien (Pl.),To be translated,अनुवाद किया जाना है
die Fernsehsendung,TV program,टीवी कार्यक्रम
die Fledermaus,bat,चमगादड़
die Flucht,flight (refugee),शरणार्थी
die Flut,flood,बाढ़
die Flöte,flute,बांसुरी
die Folge,episode,एपिसोड
die Folie,slide,स्लाइड
die Frage stellen,to ask a question,सवाल पूछना
