German,English,Hindi
außer,To be translated,अनुवाद किया जाना है
außerdem,To be translated,अनुवाद किया जाना है
außerhalb,To be translated,अनुवाद किया जाना है
backen,to bake,सेंकना
baden,To be translated,अनुवाद किया जाना है
bald,soon,जल्दी
bar,cash (payment),नकद
basteln,to do crafts,हस्तशिल्प
Bauchschmerzen,stomach ache,पेट दर्द
bauen,To be translated,अनुवाद किया जाना है
beantworten,To be translated,अनुवाद किया जाना है
beantworter,To be translated,अनुवाद किया जाना है
beantwortet,To be translated,अनुवाद किया जाना है
bedanken (sich),To be translated,अनुवाद किया जाना है
bedankt,To be translated,अनुवाद किया जाना है
bedeuten,To be translated,अनुवाद किया जाना है
beeilen (sich),to hurry,जल्दी करना
beeilt,To be translated,अनुवाद किया जाना है
beenden,to end / finish,समाप्त करना
beginnen,to begin / start,शुरू करना
begründen,To be translated,अनुवाद किया जाना है
bei,To be translated,अनुवाद किया जाना है
beide,To be translated,अनुवाद किया जाना है
beige,beige,बेज / मटमैला
bekannt,To be translated,अनुवाद किया जाना है
bekommen,to get / receive,प्राप्त करना
bekommt,To be translated,अनुवाद किया जाना है
beliebt,To be translated,अनुवाद किया जाना है
bellen,to bark,भौंकना
benutzen,To be translated,अनुवाद किया जाना है
bequem,To be translated,अनुवाद किया जाना है
beraten,To be translated,अनुवाद किया जाना है
bereitet vor,To be translated,अनुवाद किया जाना है
berichten,To be translated,अनुवाद किया जाना है
Berlin,To be translated,अनुवाद किया जाना है
berufstätig,employed / working,नौकरी वाला
berühmt,To be translated,अनुवाद किया जाना है
beschreiben,To be translated,अनुवाद किया जाना है
beschwert,To be translated,अनुवाद किया जाना है
besetzt,occupied / busy,व्यस्त
besichtigen,To be translated,अनुवाद किया जाना है
besichtigt,To be translated,अनुवाद किया जाना है
besonders,especially,खासकर
besorgt,worried,चिंतित
bestehen,to pass (exam),पास होना
besteht,To be translated,अनुवाद किया जाना है
bestellen,to order,ऑर्डर करना
bestellt,To be translated,अनुवाद किया जाना है
bestätigen,To be translated,अनुवाद किया जाना है
besuchen,To be translated,अनुवाद किया जाना है
besucht,To be translated,अनुवाद किया जाना है
bewerben (sich),To be translated,अनुवाद किया जाना है
bewirbt,To be translated,अनुवाद किया जाना है
bewölkt,cloudy,बादल वाला
bezahlen,to pay,भुगतान करना
billig,To be translated,अनुवाद किया जाना है
bis,until / to,तक
Bis bald,See you soon,जल्दी मिलते हैं
Bis dann!,See you then!,फिर मिलेंगे!
Bis morgen,See you tomorrow,कल मिलते हैं
Bis später,See you later,बाद में मिलते हैं
bisschen,To be translated,अनुवाद किया जाना है
Bitte langsamer!,Please slower!,कृपया धीरे बोलिए!
Bitte schön,You're welcome,कोई बात नहीं
bitten,To be translated,अनुवाद किया जाना है
bitter,bitter,कड़वा
blau,blue 🔵,नीला
bleiben,To be translated,अनुवाद किया जाना है
bleibt,To be translated,अनुवाद किया जाना है
blond,To be translated,अनुवाद किया जाना है
blöd,To be translated,अनुवाद किया जाना है
braten,to fry,तलना
brauchen,to need,ज़रूरत होना
braucht,To be translated,अनुवाद किया जाना है
braun,brown 🟤,भूरा
breit,wide / broad,चौड़ा
bringen,to bring,लाना
bringt,To be translated,अनुवाद किया जाना है
brät,To be translated,अनुवाद किया जाना है
buchen,to book,बुक करना
buchstabieren,To be translated,अनुवाद किया जाना है
bunt,colorful,रंगीन
böse,angry / mad 😠,गुस्सा / नाराज़
bügeln,to iron,इस्त्री करना
chatten,To be translated,अनुवाद किया जाना है
cremefarben,cream colored,क्रीम रंग
da,there / here,वहाँ / यहाँ
da(r) (Bsp. darauf,To be translated,अनुवाद किया जाना है
dabei (sein),To be translated,अनुवाद किया जाना है
damals,To be translated,अनुवाद किया जाना है
danach,after that,उसके बाद
daneben,To be translated,अनुवाद किया जाना है
dankbar,grateful,कृतज्ञ
Danke,Thank you,धन्यवाद
Danke schön,Thank you very much,बहुत धन्यवाद
"Danke, gut","Thanks, good","धन्यवाद, अच्छा"
danken,To be translated,अनुवाद किया जाना है
dann,then,फिर / तब
darüber),To be translated,अनुवाद किया जाना है
das,that / this,यह / वह
das (Fahr)Rad,To be translated,अनुवाद किया जाना है
das Abendessen,dinner,रात का खाना
das Alter,age,उम्र
das Alter (Sg.),To be translated,अनुवाद किया जाना है
das Amt,office / authority,कार्यालय
das Angebot,offer / deal 🏷️,ऑफर
das Aquarium,aquarium,एक्वेरियम
das Arbeitsamt,employment office,रोजगार कार्यालय
das Auge,eye 👁️,आँख
das Ausland (Sg.),To be translated,अनुवाद किया जाना है
das Auto,To be translated,अनुवाद किया जाना है
das Autoabgase,car exhaust,कार का धुआँ
das Baby,baby 👶,शिशु
das Bad,bathroom,बाथरूम
das Badezimmer,bathroom,बाथरूम
das Ballett,ballet,बैले
das Bargeld,cash,नकद
das Bein,leg 🦵,टांग
das Benzin,petrol / gas,पेट्रोल
das Besteck,cutlery 🍴,छुरी-काँटा
das Bett,bed 🛏️,बिस्तर
das Bettlaken,bed sheet,चादर
das Bettzeug,bedding,बिस्तर का सामान
das Bier,beer 🍺,बीयर
das Bild,picture / painting 🖼️,तस्वीर
das Blatt,leaf 🍃,पत्ता
das Blut,blood 🩸,खून
das Boot,boat ⛵,नाव
das Brettspiel,board game,बोर्ड गेम
das Brot,bread,रोटी
das Brötchen,rolls,ब्रेड रोल
das Buch,book 📕,किताब
das Buch lesen,to read a book,किताब पढ़ना
das Bügeleisen,iron,प्रेस
das Büro,office,दफ्तर
das Café,café ☕,कैफ़े
das CO2,CO2,सीओ2
das Dach,roof,छत (बाहर)
das Date,date,डेट
das Datum,date 📅,तारीख
das Denkmal,monument,स्मारक
das Dessert,dessert,डेज़र्ट
das Ding,To be translated,अनुवाद किया जाना है
das Diplom,diploma / degree,डिप्लोमा
das Doppelzimmer,double room,डबल रूम
das Dorf,village 🏘️,गाँव
das E-Book,To be translated,अनुवाद किया जाना है
das Ei,egg,अंडा
das Eichhörnchen,squirrel,गिलहरी
das Einkaufs-,To be translated,अनुवाद किया जाना है
das Einkaufszentrum,shopping mall 🛍️,शॉपिंग मॉल
das Einzelzimmer,single room,सिंगल रूम
das Eis,ice / ice cream,बर्फ / आइसक्रीम
das Eis (Sg.),To be translated,अनुवाद किया जाना है
das Ende,end,अंत
das Enkelkind,grandchild,पोता/पोती / नाती/नातिन
das Erdbeben,earthquake,भूकंप
das Erdgeschoss,ground floor,भूतल
das Essen,to eat,खाना
das Esszimmer,dining room 🍽️,खाने का कमरा
das Etikett,label,लेबल
das Fach,subject,विषय
das Fahrrad,bicycle,साइकिल
das Fahrrad fahren,to ride a bike,साइकिल चलाना
das Fax,fax,फैक्स
das Feld,field,खेत
das Fell,fur,फर / बाल
das Fenster,window 🪟,खिड़की
das Fernsehen,television 📺,टेलीविज़न
das Fest,festival / celebration 🎉,त्योहार
das Festival,To be translated,अनुवाद किया जाना है
das Feuer,fire 🔥,आग
das Feuerwerk,fireworks 🎆,आतिशबाज़ी
das Feuerzeug,lighter,लाइटर
das Fieber,fever 🤒,बुखार
das Fieber (Sg.),To be translated,अनुवाद किया जाना है
das Fitness,fitness,फिटनेस
das Fitnessstudio,gym 🏋️,जिम
das Fleisch (Sg.),To be translated,अनुवाद किया जाना है
das Flugzeug,airplane ✈️,हवाई जहाज़
das Formular,form,फॉर्म
das Foto,photo 📷,फोटो
das Foto machen,to take a photo,फोटो खींचना
das Frühstück,breakfast,नाश्ता
das Frühstück (Sg.),To be translated,अनुवाद किया जाना है
das Frühstücksbuffet,breakfast buffet,नाश्ता बुफे
das Fußballspiel,football match,फुटबॉल मैच
das Gate,gate,गेट
das Gebäude,building,इमारत
das Gefühl,feeling,भावना
das Gegenteil,To be translated,अनुवाद किया जाना है
das Gehalt,salary 💰,वेतन
das Geld (Sg.),To be translated,अनुवाद किया जाना है
das Geld abheben,to withdraw money,पैसे निकालना
das Geld einzahlen,to deposit money,पैसे जमा करना
das Geldautomat,ATM,एटीएम
das Gemälde,painting,पेंटिंग
das Gemüse (Sg.),To be translated,अनुवाद किया जाना है
das Gepäck,luggage / baggage 🧳,सामान
das Gepäck (Sg.),To be translated,अनुवाद किया जाना है
das Gericht,dish,डिश
das Gerät,To be translated,अनुवाद किया जाना है
das Geschenk,gift / present 🎁,उपहार
das Geschirr,dishes / tableware 🍽️,बर्तन
das Geschirr (Sg.),To be translated,अनुवाद किया जाना है
das Geschirrtuch,dish towel,बर्तन पोंछने का कपड़ा
das Geschäft,shop / store 🏪,दुकान
das Gesetz,law,कानून
das Gesicht,face 😊,चेहरा
das Gespräch,conversation (phone),बातचीत
das Getränk,drink / beverage 🥤,पेय
das Gewicht,weight,वज़न
das Gewitter,thunderstorm ⛈️,आँधी-तूफ़ान
das Glas,glass 🥛,गिलास
das Gleis,To be translated,अनुवाद किया जाना है
das Glück,luck / happiness,खुशी / भाग्य
das Glück (Sg.),To be translated,अनुवाद किया जाना है
das GPS,GPS,जीपीएस
das Gramm,gram,ग्राम
das Gras,grass 🌿,घास
das Gymnasium,high school,हाई स्कूल
das Haar,hair,बाल
das Handtuch,towel,तौलिया
das Handy,mobile phone 📱,मोबाइल फोन
das Hauptgericht,main course,मेन कोर्स
das Haus,house 🏠,मकान
das Haustier,pet,पालतू जानवर
das Heft,notebook 📓,कॉपी
das Hemd,shirt 👔,शर्ट
das Herz,heart ❤️,दिल
das Hobby,hobby,शौक
das Hotel,hotel 🏨,होटल
das Hotelzimmer,hotel room,होटल का कमरा
das Huhn,chicken 🐔,मुर्गी
das Hähnchen,chicken,चिकन
das Insekt,insect,कीड़ा
das Instrument,instrument,वाद्य यंत्र
das Interesse,To be translated,अनुवाद किया जाना है
das Internet,internet 🌐,इंटरनेट
das Internet (Sg.),To be translated,अनुवाद किया जाना है
das Interview,To be translated,अनुवाद किया जाना है
das Jahr,year,साल
das Jahrhundert,century,सदी
das Jahrzehnt,decade,दशक
das Kabel,cable,केबल
das Kaninchen,rabbit 🐰,खरगोश
das Karussell,carousel,मेरी गो राउंड
das Kaufhaus,department store 🏬,डिपार्टमेंट स्टोर
das Kilo,kilo,किलो
das Kind,child 👶,बच्चा
das Kinderzimmer,children's room,बच्चों का कमरा
das Kinn,chin,ठुड्डी
das Kino,cinema 🎬,सिनेमा
das Kissen,pillow,तकिया
das Klassenzimmer,classroom,क्लासरूम
das Klavier,piano,पियानो
das Klavier spielen,to play piano,पियानो बजाना
das Kleid,To be translated,अनुवाद किया जाना है
das Kleidungsstück,piece of clothing,कपड़े का टुकड़ा
das Klima,climate,जलवायु
das Klo,toilet (informal),टॉयलेट
das Knie,knee,घुटना
das Konfetti,confetti 🎊,कन्फेट्टी
das Konto,account,खाता
das Konzert,concert,कॉन्सर्ट
das Kostüm,costume,पोशाक
das Krankenhaus,hospital 🏥,अस्पताल
das Krokodil,crocodile 🐊,मगरमच्छ
das Ladegerät,charger 🔌,चार्जर
das Laken,sheet,चादर
das Land,countryside / land,देहात / ज़मीन
das Leben,to live (be alive),जीना
das Licht,To be translated,अनुवाद किया जाना है
das Lied,song,गाना
das Lineal,ruler 📏,स्केल
das Lokal,To be translated,अनुवाद किया जाना है
das Material,material,सामग्री
das Medikament,medication,दवाई
das Meer,sea 🌊,समुद्र
das Meeting,meeting,मीटिंग
das Messer,knife 🔪,चाकू
das Mineral-,To be translated,अनुवाद किया जाना है
das Mineralwasser,mineral water,मिनरल वाटर
das Mittagessen,lunch,दोपहर का खाना
das Mittel,medium (M),मध्यम
das Mobil-,To be translated,अनुवाद किया जाना है
das Motorrad,motorcycle 🏍️,मोटरसाइकिल
das Museum,museum 🏛️,संग्रहालय
das Muster,pattern,पैटर्न
das Mädchen,girl 👧,लड़की
das Notizbuch,notebook 📓,नोटबुक
das Obst,fruit,फल
das Obst (Sg.),To be translated,अनुवाद किया जाना है
das Ohr,ear 👂,कान
das Osterei,Easter egg 🥚,ईस्टर अंडा
das Paar,To be translated,अनुवाद किया जाना है
das Paket,parcel,पार्सल
das Paket verschicken,to send a parcel,पार्सल भेजना
das Papier,paper 📄,कागज़
das Parfüm,perfume,इत्र
Das passt mir (nicht),That fits me (not),यह मुझे फिट है (नहीं)
das Passwort,password 🔐,पासवर्ड
das Pferd,horse 🐴,घोड़ा
das Pflaster,band-aid,बैंड-एड
das Pfund,pound (weight),पाउंड
das Picknick,picnic,पिकनिक
das Plakat,To be translated,अनुवाद किया जाना है
das Plastik,plastic,प्लास्टिक
das Portemonnaie,wallet 👛,बटुआ
das Poster,To be translated,अनुवाद किया जाना है
das Praktikum,To be translated,अनुवाद किया जाना है
das Problem,problem,समस्या
das Problem lösen,to solve a problem,समस्या हल करना
das Produkt,To be translated,अनुवाद किया जाना है
das Programm,To be translated,अनुवाद किया जाना है
das Projekt,project,प्रोजेक्ट
das Publikum,audience,दर्शक
das Putzmittel,cleaning product,सफाई का सामान
das Quiz (Sg.),To be translated,अनुवाद किया जाना है
das Radfahren,cycling,साइकिल चलाना
das Radio,radio 📻,रेडियो
das Rathaus,town hall 🏛️,नगर पालिका
das Recht,right,अधिकार
das Referat,presentation,प्रेजेंटेशन
das Regal,shelf,शेल्फ
das Reh,roe deer,हिरणी
das Reisebüro,To be translated,अनुवाद किया जाना है
das Restaurant,restaurant 🍽️,रेस्तरां
das Rezept,prescription,पर्चा / नुस्खा
das Rind,To be translated,अनुवाद किया जाना है
das Rätsel,To be translated,अनुवाद किया जाना है
das Salz,salt,नमक
das Schach,chess,शतरंज
das Schaf,sheep 🐑,भेड़
das Schaufenster,shop window,दुकान की खिड़की
das Schiff,ship 🚢,जहाज़
das Schild,To be translated,अनुवाद किया जाना है
das Schlafzimmer,bedroom 🛏️,शयनकक्ष
das Schloss,castle 🏰,महल
Das schmeckt gut!,That tastes good!,यह स्वादिष्ट है!
das Schneidebrett,cutting board,कटिंग बोर्ड
das Schwein,pig 🐷,सूअर
das Schwimm-,To be translated,अनुवाद किया जाना है
das Schwimmbad,swimming pool 🏊,स्विमिंग पूल
das Selfie,selfie,सेल्फी
das Semester,semester,सेमेस्टर
das Seminar,seminar,सेमिनार
das Shampoo,shampoo,शैंपू
das Signal,signal 📶,सिग्नल
das Skifahren,skiing,स्कीइंग
das Smartphone,smartphone,स्मार्टफोन
das Sofa,sofa,सोफा
das Solarenergie,solar energy,सौर ऊर्जा
das Sonderangebot,special offer,स्पेशल ऑफर
das Souvenir,souvenir,स्मृति चिह्न
das Sparkonto,savings account,बचत खाता
das Spiel,game,खेल
das Spülmittel,dish soap,बर्तन धोने का साबुन
das Stadion,stadium 🏟️,स्टेडियम
Das steht dir gut!,That looks good on you!,तुम पर यह अच्छा लग रहा है!
das Stipen-,To be translated,अनुवाद किया जाना है
das Stipendium,scholarship,छात्रवृत्ति
das Stockwerk,To be translated,अनुवाद किया जाना है
das Studentenwohnheim,student dormitory,छात्रावास
das Studium,studies (uni),पढ़ाई
das Studium (Sg.),To be translated,अनुवाद किया जाना है
das Stück,piece,टुकड़ा
das T-Shirt,t-shirt 👕,टी-शर्ट
das Tablet,tablet,टैबलेट
das Tal,valley,घाटी
das Taschengeld,To be translated,अनुवाद किया जाना है
das Taschentuch,tissue / handkerchief,रुमाल
das Taxi,taxi 🚕,टैक्सी
das Team,team,टीम
das Telefon,telephone 📞,टेलीफोन
das Tennis,tennis,टेनिस
das Tennis (Sg.),To be translated,अनुवाद किया जाना है
das Theater,theater 🎭,थिएटर
das Thema,To be translated,अनुवाद किया जाना है
das Thermometer,thermometer,थर्मामीटर
das Ticket,ticket,टिकट
das Ticket kaufen,to buy a ticket,टिकट खरीदना
das Tier,animal 🐾,जानवर
das Tor,goal,गोल
das Tor schießen,to score a goal,गोल करना
das Training,training,ट्रेनिंग
das Trinkgeld,tip,टिप
das Verkehrs-,To be translated,अनुवाद किया जाना है
das Verkehrsschild,traffic sign,ट्रैफिक साइन
das Video,video 🎥,वीडियो
das Visum,visa,वीज़ा
das Vorstellungsgespräch,job interview,इंटरव्यू
das Waschbecken,sink (bathroom),वॉशबेसिन
das Wasser,water 💧,पानी
das Wasser (Sg.),To be translated,अनुवाद किया जाना है
das Wasser (Sg.),To be translated,अनुवाद किया जाना है
das Wechselgeld,change (money back),खुल्ले पैसे
das Wetter,weather 🌤️,मौसम
das Wetter (Sg.),To be translated,अनुवाद किया जाना है
Das Wetter ist schlecht,The weather is bad,मौसम खराब है
Das Wetter ist schön,The weather is nice,मौसम अच्छा है
das Wiederhören,goodbye (on phone),फोन पर अलविदा
das WLAN,WiFi 📶,वाई-फाई
das Wochenende,weekend 🗓️,सप्ताहांत
das Wohnzimmer,living room 🛋️,बैठक
das Wort,word,शब्द
das Wörterbuch,dictionary,शब्दकोश
das Zebra,zebra 🦓,ज़ेब्रा
das Zelt,tent,तंबू
das Zentrum,center,केंद्र
das Zeugnis,report card / certificate,रिपोर्ट कार्ड
das Ziel,goal/target,लक्ष्य/गोल
das Zimmer,room 🚪,कमरा
das Zimmer reservieren,to reserve a room,कमरा बुक करना
das Öl,To be translated,अनुवाद किया जाना है
dass,that (conjunction),कि
dauern,to last / take time,समय लगना
de Rentner,To be translated,अनुवाद किया जाना है
den Tisch decken,to set the table,मेज़ लगाना
denken,to think 🤔,सोचना
denn,because / for,क्योंकि
der Abend,evening 🌆,शाम
der Abflug,departure (flight),प्रस्थान
der Abschluss,degree/graduation,डिग्री
der Absender,sender,प्रेषक
der Adler,eagle,ईगल
der Affe,monkey 🐒,बंदर
der Albtraum,nightmare,बुरा सपना
der Alltag,everyday life,रोज़मर्रा की ज़िंदगी
der Anfang,beginning,शुरुआत
der Anruf,phone call,फोन कॉल
der Anruf-,To be translated,अनुवाद किया जाना है
der Anschluss,To be translated,अनुवाद किया जाना है
der Anzug,suit 🤵,सूट
der Apfel,apple,सेब
der Apfelsaft,apple juice 🍎,सेब का जूस
der Apparat,To be translated,अनुवाद किया जाना है
der Appetit,appetite,भूख
der Arbeitsplatz,workplace,कार्यस्थल
der Arm,arm 💪,बाँह
der Artikel,article,लेख
der Arzt,doctor (m) 👨‍⚕️,डॉक्टर (पुरुष)
der Ast,branch,डाल
der Aufsatz,essay,निबंध
der Aufzug,elevator,लिफ्ट
der Ausflug,excursion,पिकनिक
der Ausgang,exit,निकास
der Ausländer,foreigner,विदेशी
der Ausverkauf,sale,सेल
der Ausweis,To be translated,अनुवाद किया जाना है
der Automat,To be translated,अनुवाद किया जाना है
der Autor,author,लेखक
der Autoschlüssel,car key 🚗🔑,कार की चाबी
der Azubi,apprentice,प्रशिक्षु
der Babysitter,To be translated,अनुवाद किया जाना है
der Bach,stream,नाला
der Badeanzug,swimsuit (f) 👙,स्विमसूट
der Bahnhof,train station 🚉,रेलवे स्टेशन
der Bahnsteig,platform,प्लेटफॉर्म
der Balkon,balcony,बालकनी
der Ball,ball,गेंद
der Ballon,balloon 🎈,गुब्बारा
der Bankangestellte,bank employee,बैंक कर्मचारी
der Bart,beard 🧔,दाढ़ी
der Basketball,basketball,बास्केटबॉल
der Bauch,stomach / belly,पेट
der Baum,tree 🌳,पेड़
der Becher,mug / beaker,मग
der Behälter,container,डिब्बा / कंटेनर
der Bekannte,acquaintance (m),परिचित (पुरुष)
der Benutzer,user,उपयोगकर्ता
der Berg,mountain ⛰️,पहाड़
der Beruf,profession / occupation,पेशा
der Bescheid,To be translated,अनुवाद किया जाना है
der Besen,broom,झाड़ू
der Besuch,To be translated,अनुवाद किया जाना है
der Betrag,amount,राशि
der Beutel,pouch / bag,थैली
der Biber,beaver,ऊदबिलाव
der Bildschirm,screen,स्क्रीन
der Bio-Müll,organic waste,जैविक कचरा
der Bleistift,To be translated,अनुवाद किया जाना है
der Blitz,lightning ⚡,बिजली
der Blumenladen,flower shop 💐,फूल की दुकान
der Blutdruck,blood pressure,ब्लड प्रेशर
der Bluttest,blood test,ब्लड टेस्ट
der Boden,floor,फर्श
der Brauch,custom,रिवाज
der Brief,letter ✉️,पत्र
der Briefkasten,mailbox,लेटरबॉक्स
der Bruder,brother 👦,भाई
der Brunnen,fountain,फव्वारा
der Bräutigam,groom 🤵,दूल्हा
der Buchstabe,To be translated,अनुवाद किया जाना है
der Bus,bus 🚌,बस
der Busch,bush,झाड़ी
der Bäcker,baker,बेकर
der Bär,bear 🐻,भालू
der Bürger,citizen,नागरिक
der Cappuccino,cappuccino,कैपुचीनो
der Cent,cent,सेंट
der Champagner,champagne 🍾,शैंपेन
der Chef,boss,बॉस
der Chor,choir,गायक मंडली
der Club,To be translated,अनुवाद किया जाना है
der Computer,computer 💻,कंप्यूटर
der Cousin,cousin (male),चचेरा/ममेरा भाई
der Dachboden,attic,अटारी
der Dachs,badger,बज्जू
der Dank (Sg.),To be translated,अनुवाद किया जाना है
der Daumen,thumb 👍,अंगूठा
der Deckel,lid / cover,ढक्कन
der Delfin,dolphin 🐬,डॉल्फिन
der Dokumentarfilm,documentary,डॉक्यूमेंट्री
der Dom,cathedral,कैथेड्रल
der Donner,thunder,गड़गड़ाहट
der Dozent,lecturer,प्रोफेसर
der Drucker,printer 🖨️,प्रिंटर
der Durst,thirst,प्यास
der Durst (Sing.),To be translated,अनुवाद किया जाना है
der Ehemann,husband,पति
der Ehepartner,To be translated,अनुवाद किया जाना है
der Eimer,bucket,बाल्टी
der Eingang,entrance 🚪,प्रवेश द्वार
der Einkaufswagen,shopping cart 🛒,शॉपिंग ट्रॉली
der Eintritt,To be translated,अनुवाद किया जाना है
der Eiskaffee,iced coffee,आइस्ड कॉफ़ी
der Eistee,iced tea 🧊,आइस्ड टी
der Elefant,elephant 🐘,हाथी
der Ellbogen,elbow,कोहनी
der Empfänger,recipient,प्राप्तकर्ता
der Enkel,grandson,पोता
der Erwachsene,adult,वयस्क
der Esel,donkey,गधा
der Espresso,espresso,एस्प्रेसो
der Esslöffel,tablespoon,बड़ा चम्मच
der Euro,euro,यूरो
der Fahrer,driver,ड्राइवर
der Fahrplan,timetable / schedule,समय-सारणी
der Familien-,To be translated,अनुवाद किया जाना है
der Familienstand,marital status,वैवाहिक स्थिति
der Fan,fan,प्रशंसक
der Fehler,mistake / error,गलती
der Feierabend,end of work day,छुट्टी का समय
der Feiertag,holiday,छुट्टी का दिन
der Fernseher,television 📺,टीवी
der Festtag,holiday / festival day,त्योहार का दिन
der Film,film/movie,फिल्म
der Finger,finger ☝️,उंगली
der Fink,finch,फिंच
der Fisch,fish,मछली
der Flohmarkt,flea market,पुरानी चीज़ों का बाज़ार
der Flug,flight,उड़ान
der Flughafen,airport ✈️,हवाई अड्डा
der Flur,hallway / corridor,गलियारा
der Fluss,river 🏞️,नदी
der Flüchtling,refugee,शरणार्थी
der Flügel,wing,पंख
der Freitag,Friday,शुक्रवार
der Freund,friend (m) / boyfriend,दोस्त / बॉयफ्रेंड
der Freundesliste,friends list,फ्रेंड्स लिस्ट
der Friseur,hairdresser,नाई
der Friseursalon,hair salon,हेयर सैलून
der Frosch,frog 🐸,मेंढक
der Frost,frost,ठंड
der Frühling,spring 🌸,बसंत
der Fuchs,fox 🦊,लोमड़ी
der Fuß,foot 🦶,पैर
der Fußball,football/soccer,फुटबॉल
der Führer,guide,गाइड
der Führer-,To be translated,अनुवाद किया जाना है
der Führerschein,driver's license,ड्राइविंग लाइसेंस
der Garten,garden 🌳,बगीचा
der Gast,guest,मेहमान
der Geburtsort,place of birth,जन्मस्थान
der Geburtstag,birthday 🎂,जन्मदिन
der Geburtstagswunsch,birthday wish,जन्मदिन की शुभकामना
der Geschirrspüler,dishwasher,डिशवॉशर
der Geschmack,taste,स्वाद
der Glück-,To be translated,अनुवाद किया जाना है
der Großvater,grandfather (formal),दादा / नाना
der Gruß,To be translated,अनुवाद किया जाना है
der grüne Tee,green tea 🍃,हरी चाय
der Guide,guide,गाइड
der Gutschein,voucher,वाउचर
der Gürtel,belt,बेल्ट
der Hagel,hail,ओले
der Hahn,rooster 🐓,मुर्गा
